Zone,Sub-Registrar-Office,Village,Street Name,Land Classification,Year,Price
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2015,470
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2016,470
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2017,470
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2017,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2018,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2019,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2020,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2021,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2022,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2023,315
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2023,418
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,AYYANAR KOIL STREET,Residential Grade - IV Category - III,2024,418
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2012,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2013,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2014,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2015,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2016,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2017,650
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2017,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2018,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2019,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2020,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2021,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2022,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2023,435
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2023,578
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,MEENAKSHI NAGAR,Residential Grade II - I,2024,578
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2012,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2013,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2014,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2015,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2016,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2017,800
Madurai,Madurai North Joint 1,VILANGUDI CORPORATION,NEHRU NAGAR,Residential Grade I - I,2017,536
