Zone,Sub-Registrar-Office,Village,Street Name,YEAR 2012-2017,YEAR 2017-2023,YEAR 2023-2024,Land Classification
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THEPPAKULAM MARIAMMAN NAGAR,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,THEPPAKULAM DEVI NAGAR,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,SYED ISMAILPURAM STREET,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,SRINIVASA PERUMAL KOVIL STREET,2000.0,1340.0,2000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,SOUTH SIDE ANTHONIAR KOVIL STREET,2000.0,1340.0,2000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,SOURASTRA TEACHERS COLONY,1500.0,1005.0,1500.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,SOURASTRA HR.SEC.SCHOOL STREET,2000.0,1340.0,2000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 1,RUCKMANIPALAYAM LANE,1500.0,1005.0,1500.0,Residential Class I Type - I
,,,,,,,
Madurai,Madurai South Joint I,Town Suryvey Ward 2,KAMARAJAR SALAI,7000.0,5000.0,7000.0,Commercial Special Type - II
Madurai,Madurai South Joint I,Town Suryvey Ward 2,KEELA MARATTU STREET,5000.0,3350.0,5000.0,Commercial Special Type - IV
Madurai,Madurai South Joint I,Town Suryvey Ward 2,KARUPANAPILLAI LANE,1500.0,1005.0,1500.0,Residential Class III Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,KANNIVADI RAMAN LANE,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,KEELA VELI STREET,6000.0,4020.0,6000.0,Commercial Special Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 2,MANJANAKARA STREET,4000.0,2680.0,4000.0,Commercial Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,MANIKKA NAGASAMY IYER LANE,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,MANIKKA KRISHNASAMY LANE,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,MAKALIPATTI CROSS LANE,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,MAHALE VADAMPOKI STREET,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,SOUTH PERUMAL MASTHIRI STREET,3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,SOUTH MASI STREET,8000.0,5360.0,8000.0,Commercial Special Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,SOUTH MARATTU STREET,4000.0,2680.0,4000.0,Commercial Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,THIRUMALAI NAICKER PALACE (LEFT SIDE),3000.0,2010.0,3000.0,Residential Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 2,THERKU VELI STREET,5000.0,3350.0,5000.0,Commercial Special Type - IV
,,,,,,,
Madurai,Madurai South Joint I,Town Suryvey Ward 6,NORTH VELI STREET,6000.0,4020.0,6000.0,Commercial Special Type - III
Madurai,Madurai South Joint I,Town Suryvey Ward 6,NORTH PERUMAL MESHTHIRI STREET,4000.0,2680.0,4000.0,Commercial Class I Type - I
Madurai,Madurai South Joint I,Town Suryvey Ward 6,NORTH MASI STREET,5000.0,3350.0,5000.0,Commercial Special Type - IV
